,总价,单价,所在区域,小区名称,房屋类型,所在楼层,建筑面积,户型结构,建筑类型,房屋朝向,装修情况,配备电梯
16166,170,14014,贾汪区,保利鑫城,3室2厅1厨2卫,低楼层,121.31,平层,板塔结合,南,精装,有
16169,85,8259,贾汪区,绿地高铁东城三期,3室2厅1厨1卫,中楼层,102.93,平层,板楼,南,精装,有
16170,181,12425,贾汪区,月星公馆,4室1厅1厨2卫,高楼层,145.68,平层,板塔结合,南 北,精装,有
16171,190,10846,贾汪区,城置国际花园城三期,5室3厅2厨2卫,高楼层,175.18,复式,板楼,南,精装,有
16172,110,10345,贾汪区,绿地高铁东城三期,3室1厅1厨1卫,低楼层,106.34,平层,板楼,南,简装,有
16173,106,10933,贾汪区,绿地高铁东城,2室1厅1厨1卫,高楼层,96.96,平层,板楼,南,其他,有
16174,95,8337,贾汪区,城置国际花园城一期,3室2厅1厨2卫,中楼层,113.95,平层,板塔结合,南,精装,有
16175,160,11175,贾汪区,绿地之窗国际花都二期,3室2厅1厨2卫,低楼层,143.18,平层,板楼,南 北,毛坯,有
16176,240,16956,贾汪区,美的城,3室2厅1厨2卫,中楼层,141.55,平层,板楼,南,毛坯,有
16177,100,9454,贾汪区,美的时代城,3室2厅1厨1卫,低楼层,105.78,平层,板楼,南,精装,有
16179,200,11009,贾汪区,城置国际花园城一期,3室2厅1厨2卫,高楼层,181.68,复式,板塔结合,南,简装,有
16180,80,7686,贾汪区,绿地高铁东城三期,3室2厅1厨1卫,高楼层,104.09,平层,塔楼,南,精装,有
16181,122,10853,贾汪区,城置国际花园城二期,3室2厅1厨1卫,高楼层,112.42,平层,板楼,南,简装,有
16182,253,9011,贾汪区,金色年华一期,4室2厅1厨2卫,低楼层,280.78,复式,板楼,南,毛坯,有
16183,92,11388,贾汪区,绿地高铁东城,2室2厅1厨1卫,高楼层,80.79,平层,板楼,南,毛坯,有
16185,128,15012,贾汪区,绿地之窗国际花都四期,2室2厅1厨1卫,高楼层,85.27,平层,板塔结合,南,精装,有
16186,210,15067,贾汪区,美的城,3室1厅1厨2卫,高楼层,139.38,平层,板楼,南,简装,有
16187,146,16513,贾汪区,珑湾花苑一期,3室1厅1厨1卫,低楼层,88.42,平层,板塔结合,南 北,精装,有
16189,94,8176,贾汪区,美的时代城,3室2厅1厨2卫,高楼层,114.98,平层,板楼,南 北,毛坯,有
16190,150,13889,贾汪区,绿地之窗国际花都五期,3室2厅1厨1卫,中楼层,108,平层,板楼,南 北,精装,有
16191,185,13647,贾汪区,美的城,3室2厅1厨2卫,高楼层,135.57,平层,板塔结合,南 北,毛坯,有
16193,115,11992,贾汪区,城置国际花园城三期,3室3厅1厨1卫,低楼层,95.9,平层,板楼,南 北,精装,有
16194,105,10573,贾汪区,金色年华二期,3室2厅1厨1卫,低楼层,99.31,平层,板楼,南,毛坯,有
16195,97,10857,贾汪区,绿地之窗国际花都二期,2室2厅1厨1卫,高楼层,89.35,平层,板楼,南 北,精装,有
16196,98,11868,贾汪区,金色年华二期,2室1厅1厨1卫,中楼层,82.58,平层,板塔结合,南 北,毛坯,有
16197,105,10573,贾汪区,金色年华二期,3室2厅1厨1卫,低楼层,99.31,平层,板楼,南,毛坯,有
16199,199,13972,贾汪区,金色年华一期,4室2厅2厨2卫,中楼层,142.43,平层,板楼,南,毛坯,有
16200,140,12848,贾汪区,绿地之窗国际花都三期,3室2厅1厨1卫,中楼层,108.97,平层,板楼,南 北,毛坯,有
16201,81,9764,贾汪区,金色年华二期,2室1厅1厨1卫,中楼层,82.96,平层,板楼,南,毛坯,有
16203,85,8545,贾汪区,美的时代城,3室1厅1厨1卫,低楼层,99.48,平层,板楼,东 东南,简装,有
16204,188,14462,贾汪区,星湖湾,3室1厅1厨2卫,高楼层,130,平层,板塔结合,南,毛坯,有
16205,138,10628,贾汪区,绿地高铁东城,3室1厅1厨2卫,低楼层,129.85,平层,板楼,南,精装,有
16206,230,18516,贾汪区,保利鑫城,3室2厅1厨2卫,中楼层,124.22,平层,板塔结合,南,毛坯,有
16207,97,10857,贾汪区,绿地之窗国际花都二期,2室2厅1厨1卫,高楼层,89.35,平层,板楼,南 北,精装,有
